Distance function;Image size;Instance class;Instance;Optimal objective function value;Solution time [ms];IIO time [ms];Matryoshka time [ms];IIO step 2 basis changes;IIO iterations
OF1;512;GRFsmooth;03-04;1516728055862791;61610421;59219106;2391315;6135631;47601
OF1;512;GRFsmooth;03-05;1522574652117952;84229125;81586419;2642706;5244250;45580
OF1;512;GRFsmooth;03-06;999995529849817;183536423;181765428;1770995;5617006;135151
OF1;512;GRFsmooth;03-07;626485208029732;33021783;31720133;1301650;4381751;16114
OF1;512;GRFsmooth;03-09;1265749238980939;38946628;37844197;1102431;5275872;28804
OF1;512;GRFsmooth;03-10;1357815581317597;96900745;95117875;1782870;5951672;51756
OF1;512;GRFsmooth;04-01;1063826881690473;53906839;52368333;1538506;5256147;35175
OF1;512;GRFsmooth;04-02;1733593866543283;91040228;88423722;2616506;6101994;38303
OF1;512;GRFsmooth;04-05;1919475430843353;92701882;90083218;2618664;7542876;64197
OF1;512;GRFsmooth;04-06;2044150545732659;97760213;95312680;2447533;7147352;63774
OF1;512;GRFsmooth;04-07;1454308096648988;69571632;67107684;2463948;6755671;43837
OF1;512;GRFsmooth;04-09;677508388464043;78103808;76016149;2087659;4593391;32539
OF1;512;GRFsmooth;04-10;2538934122236569;60392553;58871365;1521188;7759152;69967
OF1;512;GRFsmooth;05-06;1840289753103223;112322824;108103141;4219683;5231055;51468
OF1;512;GRFsmooth;05-07;1825787993005488;81482546;78822167;2660379;6206175;47533
OF1;512;GRFsmooth;05-09;2119803641770496;182176550;178318357;3858193;8087172;105745
OF1;512;GRFsmooth;07-06;1176050032860829;59570118;57889401;1680717;5291732;33319
OF1;512;GRFsmooth;08-01;1354527254310036;61732492;59843198;1889294;5787469;36199
OF1;512;GRFsmooth;08-02;2343521319052971;137500588;135114844;2385744;7236577;75769
OF1;512;GRFsmooth;08-03;1595900958732760;55892475;54408948;1483527;6581375;45695
OF1;512;GRFsmooth;08-04;838382756836158;75587929;73118755;2469174;4664949;29177
OF1;512;GRFsmooth;08-05;2493522653232731;172981267;169702706;3278561;8301659;103628
OF1;512;GRFsmooth;08-06;1924978516776573;57083001;55413618;1669383;6372612;46708
OF1;512;GRFsmooth;08-07;1501267050245467;73826250;72627167;1199083;6070828;46139
OF1;512;GRFsmooth;08-09;647041556279304;47599393;45388578;2210815;4708213;53720
OF1;512;GRFsmooth;08-10;2815241304447323;56171482;54183143;1988339;7581451;63277
OF1;512;GRFsmooth;09-06;1592481281184131;79596083;77654825;1941258;5961508;53658
OF1;512;GRFsmooth;09-07;1167278904756927;54829521;53538686;1290835;5918082;42734
OF1;512;GRFsmooth;10-01;2142134234198505;89965993;88300386;1665607;7155721;56474
OF1;512;GRFsmooth;10-02;2826300169875508;124866986;122014211;2852775;8300358;87546
OF1;512;GRFsmooth;10-05;1488300295253170;73134401;71380226;1754175;6586110;45456
OF1;512;GRFsmooth;10-06;1397365475291430;83166198;80787021;2379177;6740424;47612
OF1;512;GRFsmooth;10-07;1571546002959264;75966165;73610985;2355180;5867488;38599
OF1;512;GRFsmooth;10-09;2439779142906401;62681322;61296354;1384968;7013688;58293
OF1;512;LogGRF;01-05;2308986992390740;60294978;58351615;1943363;5715935;36901
OF1;512;LogGRF;01-06;2086618736760699;68896184;66757654;2138530;5471471;35821
