Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],NWC time [ms],IIO step 2 basis changes,IIO iterations
OF1,32,LogitGRF,01-08,191795113953,240,0,20875,276
OF1,32,LogitGRF,01-09,486802003287,210,0,21202,248
OF1,32,LogitGRF,01-10,312401040771,187,0,20738,221
OF1,32,LogitGRF,02-04,228236351842,188,0,19237,225
OF1,32,LogitGRF,02-05,294144602068,250,0,22791,331
OF1,32,LogitGRF,02-06,324391127655,204,0,21281,230
OF1,32,LogitGRF,02-08,374219736214,269,0,24003,379
OF1,32,LogitGRF,02-09,405684647023,273,0,20136,369
OF1,32,LogitGRF,02-10,275475244714,204,0,19958,225
OF1,32,LogitGRF,03-02,374386568218,192,0,17614,203
OF1,32,LogitGRF,03-04,403832168459,206,0,19189,232
OF1,32,LogitGRF,03-05,253943172301,190,0,18431,194
OF1,32,LogitGRF,03-06,292835729059,181,0,20138,180
OF1,32,LogitGRF,03-08,417384627240,224,0,20686,292
OF1,32,LogitGRF,03-09,292241786710,204,0,20572,275
OF1,32,LogitGRF,03-10,279342740158,203,0,19207,240
OF1,32,LogitGRF,04-05,304310070392,226,0,18931,324
OF1,32,LogitGRF,04-08,280112188427,247,0,21280,314
OF1,32,LogitGRF,04-10,300775775460,193,0,18334,208
OF1,32,LogitGRF,05-08,287036860572,198,0,19896,226
OF1,32,LogitGRF,05-10,308783084581,215,0,19642,269
OF1,32,LogitGRF,06-04,313069262978,169,0,17180,180
OF1,32,LogitGRF,06-05,248110042993,190,0,19005,197
OF1,32,LogitGRF,06-08,264403590782,200,0,20887,214
OF1,32,LogitGRF,06-09,440461524614,226,0,21963,264
OF1,32,LogitGRF,06-10,265124486590,216,0,21892,314
OF1,32,LogitGRF,07-02,489986217505,233,0,21512,257
OF1,32,LogitGRF,07-03,266848497871,262,0,23323,376
OF1,32,LogitGRF,07-04,450596081245,200,0,21023,223
OF1,32,LogitGRF,07-05,346893390200,212,0,20003,240
